USERID,n_azioni,n_attivita_distinte,n_giorni_attivi,durata_giorni,feature0_media,feature1_media,feature2_media,feature3_media,ABBANDONO
0,75,23,12,27.34,-0.32,-0.063,0.08,2.159,0
1,25,14,4,10.771,-0.32,-0.13,0.087,0.013,0
2,188,71,10,25.965,0.232,0.079,-0.066,-0.04,0
3,5,5,2,8.553,-0.32,0.073,0.007,-0.067,1
4,8,7,1,0.019,-0.32,0.2,0.295,0.861,1
5,87,44,10,25.054,0.114,-0.056,-0.008,0.08,0
6,29,11,6,16.83,0.005,-0.348,0.072,0.431,0
7,148,57,7,28.917,0.263,-0.436,0.019,0.014,0
8,8,5,2,1.013,-0.32,-0.436,0.107,-0.067,1
9,5,3,2,0.968,-0.32,-0.436,0.107,-0.067,1
10,134,33,15,27.923,0.133,-0.284,0.103,0.178,1
11,61,20,7,22.008,-0.165,-0.019,-0.025,-0.064,0
12,143,51,9,24.963,0.085,0.134,-0.051,-0.011,1
13,29,12,1,0.405,-0.32,0.354,-0.049,-0.067,1
14,175,54,14,27.935,-0.066,0.059,-0.016,0.054,0
15,130,72,7,29.025,0.624,-0.005,-0.109,0.015,0
16,55,28,5,19.979,-0.197,-0.066,-0.003,-0.064,0
17,148,50,14,23.457,-0.156,0.149,-0.025,-0.042,0
18,76,46,2,14.491,0.035,0.401,-0.117,-0.041,0
19,5,5,2,12.729,-0.32,0.073,0.007,-0.067,0
20,55,24,6,11.972,-0.32,0.397,-0.048,-0.06,1
21,103,51,6,23.872,0.046,0.182,-0.01,0.067,0
22,114,52,7,28.978,0.047,0.055,-0.047,-0.006,0
23,180,56,17,26.95,-0.088,-0.012,-0.01,-0.014,0
24,26,12,2,4.942,-0.32,0.249,0.088,-0.036,1
25,147,54,18,28.756,0.001,-0.228,0.052,-0.015,0
26,83,36,12,26.835,0.021,-0.344,0.028,0.801,0
27,216,76,11,26.49,0.229,-0.023,-0.037,0.015,0
28,44,31,3,10.506,0.048,0.143,-0.087,-0.045,1
29,14,9,3,8.776,0.065,-0.254,0.178,1.022,1
30,31,13,8,11.052,-0.146,-0.189,0.123,1.299,0
31,80,41,8,29.135,0.371,-0.34,0.107,2.66,1
32,87,52,12,27.178,0.021,0.12,-0.043,0.376,0
33,48,40,7,28.857,-0.32,0.465,-0.06,-0.059,0
34,13,7,2,1.196,-0.32,0.347,-0.047,-0.067,1
35,147,39,14,25.238,0.056,-0.193,0.005,0.116,0
36,16,6,2,3.655,-0.32,-0.118,0.075,0.322,1
37,10,5,2,2.954,0.084,-0.436,0.107,0.174,1
38,94,45,6,22.632,-0.076,-0.03,0.016,0.048,0
39,20,13,3,5.325,-0.05,-0.181,0.032,0.083,1
40,10,6,2,1.645,-0.32,0.328,0.007,0.153,1
41,123,39,7,28.681,3.384,-0.374,-0.101,-0.027,1
42,4,4,1,0.001,0.017,-0.436,-0.018,-0.067,1
43,136,34,12,28.429,-0.231,-0.062,0.033,-0.053,0
44,21,15,5,28.321,-0.32,-0.315,0.083,-0.067,1
45,64,32,3,15.35,0.291,-0.436,0.028,0.071,0
46,11,6,1,0.023,-0.32,-0.204,0.152,0.261,1
47,9,5,2,4.241,-0.32,-0.153,0.051,-0.067,1
48,114,46,14,16.719,-0.178,0.212,-0.038,-0.044,1
49,157,42,12,28.589,-0.054,-0.193,0.024,-0.04,0
50,61,36,9,27.704,-0.143,-0.019,0.008,0.097,0
51,10,7,2,0.456,-0.32,0.073,0.057,-0.067,1
52,128,54,9,27.163,0.333,-0.416,0.036,0.207,0
53,55,27,8,24.261,0.195,-0.436,0.007,0.111,0
54,46,23,4,20.407,0.032,0.117,-0.046,0.016,0
55,126,61,11,27.222,-0.042,0.19,-0.044,0.023,0
56,61,20,4,7.553,-0.121,-0.311,0.107,-0.018,0
57,213,74,10,23.304,0.123,0.114,-0.053,-0.013,0
58,51,22,8,27.176,-0.241,-0.236,0.038,-0.067,0
59,182,77,16,25.316,0.117,0.068,-0.05,-0.0,0
60,171,60,14,26.308,0.058,-0.242,0.06,0.036,0
61,20,13,5,25.649,-0.05,-0.054,0.032,0.063,1
62,134,56,17,24.098,0.173,0.058,-0.035,0.044,1
63,26,14,2,0.577,0.458,0.054,-0.009,0.141,1
64,214,66,15,28.286,0.045,-0.317,0.083,-0.01,0
65,108,39,14,27.329,-0.22,0.295,-0.042,-0.058,0
66,83,37,7,22.375,0.476,-0.16,-0.08,0.02,0
67,10,6,2,16.595,-0.32,0.073,0.007,-0.067,1
68,7,4,1,0.002,0.258,-0.436,-0.036,0.105,1
69,60,24,6,28.346,0.039,-0.054,-0.035,0.016,0
70,197,41,21,27.064,-0.231,0.468,-0.089,-0.058,0
71,16,15,1,0.052,0.017,0.359,-0.112,-0.017,1
72,30,16,4,17.173,0.084,0.243,-0.11,-0.02,1
73,125,57,7,24.573,-0.223,0.317,-0.058,-0.04,1
74,100,46,10,28.583,-0.023,-0.054,0.017,0.007,0
75,129,55,16,28.344,0.15,-0.396,0.01,-0.01,0
76,142,59,15,28.051,0.364,-0.328,0.015,-0.007,0
77,58,13,8,13.506,-0.32,0.135,-0.006,-0.067,0
78,65,16,5,7.557,-0.237,0.269,-0.032,-0.049,1
79,181,92,5,28.085,0.246,0.098,-0.084,-0.004,0
80,231,46,16,28.34,-0.087,-0.226,0.098,-0.023,0
81,147,59,18,28.61,0.019,-0.02,-0.036,-0.052,0
82,166,76,10,22.582,0.184,0.07,-0.092,-0.007,0
83,49,19,3,11.28,0.12,-0.228,0.137,0.088,0
