USERID,n_azioni,n_attivita_distinte,n_giorni_attivi,durata_giorni,feature0_media,feature1_media,feature2_media,feature3_media,ABBANDONO
3969,44,26,5,4.941,-0.167,0.258,-0.053,-0.013,0
635,138,73,7,26.158,0.081,0.228,-0.093,-0.044,0
4344,5,3,1,0.0,-0.32,-0.436,0.107,-0.067,1
1714,97,40,11,27.117,0.014,-0.2,-0.012,-0.057,0
1123,8,5,1,0.013,-0.32,-0.118,0.044,-0.067,1
3637,6,5,1,0.082,-0.32,-0.012,0.023,-0.067,1
4413,94,19,5,5.156,-0.191,-0.409,0.096,-0.031,1
2535,65,42,6,25.987,1.215,-0.436,0.045,0.831,0
4200,7,5,2,3.618,-0.32,0.291,0.035,-0.067,1
3058,215,59,6,23.082,-0.082,0.298,-0.068,-0.027,0
3071,19,9,2,4.685,0.035,-0.302,-0.025,-0.067,1
5557,158,62,9,15.13,0.013,0.176,-0.071,-0.023,0
